nome,cargo,sexo,idade,salario
Janice Wyke,atendent,F,27,996.28
Toni Pagani,analista,F,58,1355.59
Richard Wakefield,atendent,M,27,1193.36
Jennifer Ivy,operador,F,25,1045.63
Eugene Collins,atendente:,M,56,880.43
Rosemary Scott,atendente:,F,46,988.35
Linda Iverson,operador,F,54,837.38
Hung Williams,analista,M,46,1980.16
Ramona Trowbridge,analista,F,50,1474.96
Latanya Bertrand,operador,F,25,1007.9
Ben Smith,atendent,M,47,826.93
Lawrence Kravitz,vendedor,M,35,1221.61
Peter Montgomery,gerente,M,25,5176.48
Jesse Estrada,operador,M,38,935.3
Gustavo Komorowski,diretor,M,31,10276.65
Benjamin Franks,atendente:,M,48,801.94
Betty Wendell,analista,F,36,1563.53
Flora Pfaff,analista,F,22,1484.17
Edith Howell,operador,F,59,1213.22
Kenneth Walker,analista,M,22,1506.81
Anthony Pena,atendente:,M,43,902.15
Jonathan Mcmanus,analista,M,32,1539.36
William Spaid,operador,M,27,927.11
Jeremy Coyle,operador,M,26,906.74
Karl Lacroix,analista,M,47,1571.93
Miquel Snowden,operador,M,59,868.51
Jacquelyn Phipps,operador,F,57,1083.47
Robert Rufus,atendent,M,54,912.59
Kathleen Valdovinos,vendedor,F,55,1092.24
Nancy Janak,vendedor,F,54,1323.11
David Gean,gerente,M,22,5444.49
Jeffrey Auvil,vendedor,M,59,1497.99
Larry Smith,atendent,M,60,828.86
Riley Carter,operador,M,28,1013.64
Kurt Harris,vendedor,M,40,1311.65
Michael Big,diretor,M,52,8257.59
Cari Rodrigues,operador,F,46,936.84
Frederick Whiteside,vendedor,M,51,1061.21
Brenna White,atendent,F,22,978.01
Linda Rigsby,operador,F,58,974.47
John Ross,atendent,M,29,873.75
Marcia Garcia,analista,F,24,1584.8
Michael Hudspeth,supervisor,M,57,2849.28
Ariel Gorman,atendent,F,48,743.98
James Furlong,vendedor,M,34,1243.44
Christian Collins,analista,M,34,1578.7
Renee Soto,analista,F,20,1470.37
Lynn Watts,operador,F,57,967.36
Rodney Harris,analista,M,36,1184.98
Margaret Leeper,operador,F,43,985.88
Johnny Nelson,supervisor,M,33,2560.49
Anna Sandage,atendent,F,54,746.45
Bob Fowler,operador,M,42,966.5
John Stell,vendedor,M,38,964.65
Connie Crawford,operador,F,45,942.88
Albert Herring,operador,M,51,1047.01
Jason Wiley,vendedor,M,41,1305.38
Mary Mclean,operador,F,46,1151.55
Robert Diaz,operador,M,27,942.7
Luis Platt,atendente:,M,39,903.48
John Cleary,analista,M,40,1312.58
Matthew Foster,atendente:,M,43,854.83
Mary Burton,vendedor,F,50,1231.45
Richard Mcclain,vendedor,M,26,1094.56
Dale Berwick,analista,M,20,1498.87
Timothy Cole,vendedor,M,34,1194.18
George Arnold,vendedor,M,56,1220.7
Edwin Goodman,gerente,M,30,5609.47
Paula Marnell,supervisor,F,54,3207.5
Jonathan Marois,analista,M,20,1462.64
Earl Pyne,atendent,M,51,786.18
Eugene Brady,operador,M,53,927.37
Patricia Buchanan,operador,F,56,1146.21
Carolyn Steadman,operador,F,43,1012.54
Annie Morrison,atendente:,F,27,925.58
Barbara Toban,analista,F,41,1388.52
George Mulkey,atendente:,M,49,845.19
Virginia Taylor,atendente:,F,26,972.33
Justin Robertson,analista,M,29,1532.64
Jose Weibel,gerente,M,36,5205.48
Ross George,operador,M,35,938.38
Theresa Matteo,atendent,F,32,924.0
Tammi Pinder,analista,F,59,1637.53
Matthew Buchanan,gerente,M,20,4971.95
William Tolbert,atendente:,M,46,1018.84
Mary Holland,atendente:,F,20,954.89
James Plateroti,operador,M,60,976.93
Patricia Saldana,diretor,F,34,11669.59
Wesley Richards,atendente:,M,31,943.58
Elizabeth Lopez,operador,F,52,987.38
Harold Ewalt,diretor,M,20,10614.81
Susan Ybarra,analista,F,29,1696.08
Abel Callahan,analista,M,42,1510.38
Charles Phillips,operador,M,25,973.8
James Thornberry,operador,M,56,1015.33
Jacob Martin,operador,M,25,1008.04
Paula Raitz,atendente:,F,26,909.03
Roberta Chung,vendedor,F,23,1272.26
Joseph Richards,operador,M,58,866.68
Ruth Tucker,operador,F,28,985.34
Raymond Anderson,analista,M,55,1582.75
Theodore Bushey,atendente:,M,27,848.57
Nancy Solares,vendedor,F,49,1239.91
Michael Shelton,operador,M,23,1109.96
Bobby Nelson,analista,M,44,1530.78
Jodie Student,analista,F,31,1566.58
David Briggs,atendent,M,26,920.95
Jimmie Cole,operador,M,38,1113.72
Alexander Faupel,operador,M,53,1024.56
Virginia Frederick,vendedor,F,36,1285.23
Daniel Hack,operador,M,35,1020.7
Anna Manley,operador,F,23,900.29
Mack Layton,vendedor,M,39,1405.83
Nancy Caswell,analista,F,43,1430.35
Richard Stuart,atendent,M,36,949.85
Louisa Reyes,vendedor,F,46,951.56
Gregg Mahone,vendedor,M,55,1316.34
George Spencer,diretor,M,42,9215.88
Marc Madden,supervisor,M,46,2622.51
Renee Labbe,gerente,F,28,5228.4
Cora Holmes,operador,F,60,1064.54
Tami Magallanes,analista,F,32,1554.3
Lester France,operador,M,44,940.0
John Pierce,vendedor,M,44,1236.21
Darlene Webb,vendedor,F,29,1467.3
Jennifer Sampsell,analista,F,57,1378.62
Lillie Cuen,vendedor,F,41,1167.67
Sylvia Grant,operador,F,28,1126.82
Oscar Ngo,atendente:,M,53,855.53
Billie Mcmullen,supervisor,F,26,3462.39
Mary Tucker,atendente:,F,52,948.52
Victoria Montenegro,supervisor,F,51,3289.11
Terry Adami,analista,M,26,1393.91
Sarah Simonson,analista,F,21,1558.37
Eleanor Williams,operador,F,31,1192.61
Patty Tallent,analista,F,23,1498.6
Prince Stanley,operador,M,42,1011.93
Evelyne Gibson,atendente:,F,38,1053.43
David Kelly,operador,M,52,1046.15
Bessie Denard,operador,F,53,798.33
Todd Allen,analista,M,46,1522.12
Mae Harrison,operador,F,43,849.56
Willie Paquette,atendent,F,34,968.89
Billy Palmer,atendente:,M,35,921.01
James Jones,operador,M,41,1084.1
Ambrose Cheever,operador,M,36,997.03
Brian Jones,diretor,M,52,9770.91
Karen Maser,atendent,F,43,906.08
Ivan Dyson,analista,M,39,1702.39
Donald Ichikawa,analista,M,45,1596.93
Bonnie Berger,operador,F,60,1014.93
Thomas Cunningham,atendent,M,29,831.66
John Korfhage,analista,M,43,1689.49
Alexander Coley,operador,M,48,1012.11
Constance Keller,operador,F,49,1062.45
Julius Gonzalez,analista,M,43,1562.83
Catherine Ortiz,analista,F,43,1348.16
Gilberto Salos,diretor,M,33,9630.55
Charles Yeary,analista,M,55,1450.39
Jeremy Welton,analista,M,54,1604.87
James Thompson,operador,M,27,841.47
Barbara Barnes,operador,F,30,1240.51
Agnes Ruby,analista,F,21,1538.4
Britney Green,atendent,F,32,834.79
Nadine Kallas,operador,F,25,1037.03
Ana White,atendent,F,55,744.78
Kathryn Anderson,analista,F,54,1292.49
Charles Toon,analista,M,26,1588.72
Gail Gibson,analista,F,45,1676.84
Esther Denney,analista,F,21,1394.41
Stephen Rodriguez,operador,M,43,1147.97
Sheryl Whatley,vendedor,F,29,1419.82
Barbara Morales,gerente,F,47,4856.4
Marquita Finkel,vendedor,F,28,1142.3
Armand Castro,analista,M,23,1529.32
Johnnie Renfro,atendent,F,55,911.31
Michael James,operador,M,52,948.84
Gwendolyn Kuzma,atendente:,F,24,903.5
Helen Fisher,operador,F,60,874.67
Shannon Lawson,vendedor,F,55,1177.24
Nancy Hunt,analista,F,51,1527.89
Albert Horrell,operador,M,22,1088.16
John Appleby,analista,M,47,1382.21
Manuela Rivera,gerente,F,36,5147.61
Linda Berry,diretor,F,21,10537.7
Michael Cooper,atendent,M,55,756.95
Sue Adams,operador,F,53,921.57
Jason Davino,vendedor,M,58,1100.88
Nancy Capozzoli,atendente:,F,55,901.64
Charles Roy,vendedor,M,23,1079.72
Elois Braddock,analista,F,29,1127.5
Mary Smith,operador,F,40,751.53
Paul Turner,operador,M,38,956.61
Ana Gienger,atendent,F,55,980.46
Diana Dunkin,supervisor,F,27,3059.56
Michael Mcbrayer,analista,M,59,1565.75
Charles Donart,vendedor,M,48,1115.13
Scott Pratt,vendedor,M,54,1190.28
Wyatt Mimes,vendedor,M,60,1182.22
Frederic Allen,operador,M,26,1030.62
John Hay,atendente:,M,47,875.99
Jennifer Veile,atendente:,F,28,890.69
Carolyn Doubet,operador,F,23,1112.12
Horace Blakney,analista,M,31,1502.01
Danielle Dessecker,operador,F,42,1136.53
Michael Stauffer,operador,M,60,1014.5
Charles Rubio,vendedor,M,23,967.3
Lacy Dodge,analista,F,37,1548.22
David Mcmullin,supervisor,M,29,2645.47
Vanessa Smith,operador,F,46,1118.45
William Schultz,operador,M,43,988.4
Marjory Ledwig,atendente:,F,41,821.2
Rebecca Vernon,analista,F,30,1531.99
Alice Francis,vendedor,F,22,1229.81
James Hartt,operador,M,31,1199.26
Tonja Crissler,vendedor,F,29,1296.31
Harold Elmore,supervisor,M,37,2896.49
Esther Smith,atendent,F,28,806.32
Teresa Gore,operador,F,43,939.28
Allen Montanye,operador,M,51,1065.54
Barbara Mayo,atendent,F,25,759.45
Mary Longhurst,operador,F,38,944.74
Sylvia Duncan,analista,F,55,1508.2
Anthony Booth,analista,M,30,1355.71
Lisa Jasinski,operador,F,51,1001.25
Mickey Freeman,analista,M,46,1571.86
Jason Fortner,atendent,M,53,999.95
Raymond Dotson,analista,M,29,1706.26
Marjorie Whitten,atendent,F,20,862.01
James Members,vendedor,M,51,1077.2
Tonya Rehberg,operador,F,20,1031.35
Betty Nawrocki,analista,F,59,1274.21
Todd Morgan,vendedor,M,52,1118.62
Kimberly Young,operador,F,50,1001.58
Yan Kave,operador,F,42,982.79
Jared Watkins,diretor,M,31,11058.65
Ruby Clark,atendente:,F,46,851.78
Shannon Poole,analista,F,23,1298.69
Rose Ruiz,atendent,F,39,728.62
Jared Baker,atendente:,M,40,825.52
Sybil Whitfield,supervisor,F,35,3583.47
William Than,analista,M,48,1557.27
Betty Seiler,atendente:,F,32,929.57
Matthew Jones,atendente:,M,33,814.43
Logan Ankney,gerente,M,20,4865.8
Raymond Erkkila,analista,M,48,1464.18
Cynthia Nolan,analista,F,51,1429.96
Carrie Best,vendedor,F,43,1265.5
Arthur Britton,atendent,M,57,983.14
Scott Fischer,vendedor,M,41,1132.88
Michael Dubois,operador,M,56,1009.2
Christopher Meredith,operador,M,47,1044.63
Crystal Noble,operador,F,22,847.58
Roy Bishop,vendedor,M,56,1286.37
Andrew Delgado,operador,M,47,976.04
Lea Sherman,analista,F,47,1427.18
Angelica Taylor,operador,F,53,962.36
Evelyn Isabell,operador,F,50,927.92
Anthony Brandenburg,vendedor,M,36,1125.16
Julius Rayburn,operador,M,40,994.17
Stacy Withers,operador,F,29,958.52
Mark Thompson,operador,M,43,947.41
Rosella Showe,atendente:,F,25,786.77
Dante Jerome,atendent,M,37,851.32
Kathy Quandt,operador,F,28,959.51
Deanna Gregory,analista,F,33,1475.42
Sara Jones,operador,F,32,861.73
Melissa Sanders,vendedor,F,20,1176.27
Michael Grim,atendente:,M,23,1195.33
Mattie White,analista,F,49,1368.19
James Brown,operador,M,30,1147.06
Connie Porter,operador,F,44,1026.55
Erwin Crawford,analista,M,34,1435.39
Liliana Carroll,vendedor,F,50,1261.75
John Rowles,analista,M,36,1459.6
Mary Taylor,operador,F,38,1123.38
Troy Lopez,operador,M,39,1202.06
John Woolfolk,analista,M,48,1494.34
Angel Cecilio,vendedor,M,26,1112.33
Melvin Davila,supervisor,M,51,3102.11
Irvin Bullock,operador,M,50,1055.88
Edward Allen,atendente:,M,32,901.45
Corey Evans,analista,M,43,1590.31
Robert Alonzo,atendent,M,41,967.06
Sharon Bryant,operador,F,23,1039.25
Ruth Neighbors,operador,F,31,857.21
Melissa Mohan,supervisor,F,34,2869.02
Emily Lorenzen,analista,F,40,1425.57
Lawrence Chalmers,analista,M,34,1631.05
Christopher Walden,operador,M,39,981.94
Pauline Bunch,atendent,F,32,837.75
Becky Arredondo,operador,F,32,877.94
Melissa Way,operador,F,41,1133.26
Carrie Jewell,atendente:,F,28,861.09
Maurice Burr,atendent,M,26,909.81
Debbie Ford,operador,F,30,998.16
Donald Lee,atendent,M,28,952.85
Jeanne Pies,atendente:,F,26,791.16
Jonathan Langford,analista,M,36,1545.36
Ashleigh Shaw,gerente,F,50,4659.37
Alfred Rudy,operador,M,47,927.68
Paula Pena,operador,F,40,1167.89
Susan Boyer,atendente:,F,26,819.14
Lucia Tang,vendedor,F,31,1249.1
Eleanor Mathis,vendedor,F,44,1315.26
Christina Blevins,atendente:,F,59,857.47
Jackson Broberg,atendente:,M,41,955.95
Mark Frith,operador,M,29,862.15
William Huntley,supervisor,M,38,2406.71
Joshua Woodford,vendedor,M,34,1303.21
Carol Sirmons,operador,F,32,870.55
Robert Ephraim,operador,M,54,977.92
Herbert Lopez,operador,M,40,1006.48
Fidel Davenport,operador,M,41,1124.12
Mildred Mcardle,diretor,F,37,9090.93
Stephen Gray,analista,M,41,1369.29
Andrea Welch,operador,F,29,966.64
Ethel Laflamme,atendent,F,32,724.42
Louise Small,supervisor,F,53,2924.2
David Stephens,supervisor,M,49,2832.38
Andrew Huerta,operador,M,49,1007.59
Daniel Deitz,supervisor,M,20,2753.16
Gerald Leanen,supervisor,M,38,3190.24
Virginia Dick,vendedor,F,20,1078.34
Katherine Massey,operador,F,57,818.5
Richard Fujii,operador,M,31,864.81
Lillie Thomas,vendedor,F,31,1046.6
Beth Smith,supervisor,F,47,2861.37
Carol Hampton,operador,F,27,937.35
Jennifer Barton,operador,F,33,1012.45
Alisha Bordelon,vendedor,F,31,1226.71
Robin Smith,operador,F,53,909.69
Frederick Granger,operador,M,57,950.29
Lisa Dowling,atendent,F,28,872.95
Summer Thomas,operador,F,31,1036.36
Jerri Reid,vendedor,F,53,1209.62
Juan Sayler,operador,M,43,980.9
Thomas Bean,operador,M,56,1067.98
Edwin Milan,analista,M,35,1606.45
Betty Esparza,atendente:,F,48,1006.11
Jose Davis,atendent,M,55,832.9
Salvador Dedmon,operador,M,54,955.37
Virginia Cargill,operador,F,57,1140.95
Cherie Dietrich,atendente:,F,56,1054.54
Paul Rowe,analista,M,24,1616.55
Jessie Pena,atendente:,F,36,825.44
Robert Turner,operador,M,40,867.16
Alvin Wilson,analista,M,49,1357.12
Colleen Mcghee,atendente:,F,20,906.68
Sandy Garramone,atendente:,F,30,1044.9
Veronica Leung,atendente:,F,54,972.37
Maria Baeza,atendente:,F,40,834.94
Elizabeth Wolf,operador,F,48,993.21
Edward Harmon,atendent,M,55,989.05
Dylan Williams,operador,M,38,1003.47
Jerry Evans,operador,M,41,979.93
Sandy White,operador,F,48,1031.1
Juan Lake,atendent,M,36,927.12
Ngoc Migl,operador,F,20,1029.64
Omar Tovey,vendedor,M,45,1311.31
Jennifer Plummer,vendedor,F,54,1532.15
Kala Johnson,atendent,F,39,1070.13
Pauline Dorrance,analista,F,55,1504.08
Christopher Hubbard,operador,M,29,1139.34
Andy Dawkins,analista,M,48,1484.1
Charles Smith,operador,M,48,829.0
Joseph Cameron,operador,M,44,1159.21
Shawn Sturgill,analista,M,57,1567.03
Meghan Rohde,atendente:,F,30,1014.89
Robert Wood,vendedor,M,26,1383.7
Carmen Peek,operador,F,21,1065.94
Lauren Costley,operador,F,58,788.35
Melvin Kneeland,analista,M,35,1753.02
Constance Berka,analista,F,50,1766.63
Eugene Amberg,vendedor,M,30,1336.27
Ruth Heath,vendedor,F,34,1196.77
Laura Butler,atendent,F,45,994.39
Abby Cunningham,operador,F,23,930.3
Andres Decker,operador,M,59,1076.51
William Perez,atendente:,M,44,847.85
Billy Fernandez,operador,M,31,820.83
Heather Hillery,supervisor,F,22,3040.7
Brent Snerling,analista,M,53,1325.77
Dorothy Sullivan,vendedor,F,49,1322.23
Susan Humphrey,vendedor,F,31,1123.63
Robert Alexander,analista,M,58,1542.15
Annie Weaver,analista,F,32,1324.81
Daniel Miller,analista,M,50,1622.96
Herbert Odonnell,atendente:,M,33,899.48
Bryan Morales,atendente:,M,22,877.64
Linda Lovin,analista,F,34,1412.75
Paul Davis,atendente:,M,36,933.41
Edward Gonzalez,atendente:,M,28,1071.19
Kellie Tam,operador,F,38,1078.87
Richard Hefner,operador,M,31,929.32
Estelle Hardesty,analista,F,58,1374.84
Enda Getty,atendent,F,53,978.94
Robert Huber,vendedor,M,57,888.89
Eleanor Torres,vendedor,F,47,1167.61
Alfred Gutierrez,operador,M,30,1044.3
Jacob Huggins,atendente:,M,44,943.41
Susan Daddio,analista,F,49,1531.96
Nestor Moore,operador,M,52,1047.03
Constance Stanwick,analista,F,31,1370.76
Johnnie Carter,operador,M,56,1035.05
Sara Jodway,atendente:,F,51,712.05
Florence Thomas,analista,F,21,1338.08
Thomas Johnson,analista,M,56,1166.99
Pamela Stokes,vendedor,F,46,1266.07
Elizabeth Nelson,atendente:,F,46,969.35
Justin Mitchell,atendente:,M,40,855.04
Nicholas Carpenter,analista,M,51,1591.31
John Rambert,atendent,M,30,949.26
Michael Sands,analista,M,47,1176.0
Robert Mcgurk,analista,M,31,1301.29
Rita Baber,operador,F,36,1054.47
Kristie Renaud,analista,F,44,1493.2
Philip Hairston,operador,M,26,1021.94
Elizabeth Mcleod,operador,F,34,1011.98
Kate Jordan,operador,F,51,895.91
Anthony Peete,supervisor,M,60,2507.84
Michael Ashby,vendedor,M,57,1164.07
Mary Santiago,operador,F,39,1096.4
Nicole Vancleave,supervisor,F,32,3043.16
Dean Freeborn,atendente:,M,26,867.36
Frank Pals,operador,M,52,938.78
Barbara Perez,analista,F,26,1554.61
Ronald Simon,vendedor,M,46,1161.24
Justin Kennedy,operador,M,59,1121.32
Cornell Claussen,operador,M,24,1252.16
Daniel Peralez,operador,M,55,1021.0
Larry Havard,operador,M,55,920.1
Tamara Burns,analista,F,36,1363.52
Charles Jolly,supervisor,M,54,2797.55
Timothy Soltys,supervisor,M,45,2690.58
Cynthia Wilson,vendedor,F,29,1042.95
Kellie Rickley,analista,F,31,1489.47
Gloria Barke,vendedor,F,27,1296.49
Ruby Adkins,vendedor,F,42,1258.3
Katherine Nowak,atendent,F,57,816.67
Lance Mcminn,operador,M,48,874.11
Shannon Petit,atendent,F,50,1049.1
Ruby Bachmann,atendente:,F,30,894.18
Junior Mcconnell,operador,M,42,1032.57
Celia Ware,vendedor,F,43,1398.67
Maureen Cardenas,analista,F,35,1290.18
Christopher Ledford,atendent,M,33,757.71
Fernando Elder,atendente:,M,29,918.48
Andrea Hardy,analista,F,33,1878.79
Russell Mcmanus,operador,M,58,926.17
Craig Carlisle,operador,M,26,1041.26
Vena Morris,analista,F,39,1569.38
Douglas Sutton,analista,M,29,1502.82
James Loges,gerente,M,37,5032.1
Randy Burton,operador,M,53,1173.74
Ana Kauffman,operador,F,58,975.33
Margaret Mendoza,atendente:,F,51,965.55
Salvador Gowan,atendente:,M,44,767.23
Howard Fountain,operador,M,33,962.63
Mary Lattimore,operador,F,60,1132.16
Dale Richmond,atendent,M,45,808.9
Ashley Hitt,operador,F,28,965.22
Chris Koehler,analista,M,24,1374.75
John Morgan,atendent,M,57,849.83
Timothy Wheeler,supervisor,M,52,3080.77
Debra Baney,operador,F,33,1076.33
Carman Sowers,analista,F,32,1471.24
Boris Foster,operador,M,46,901.67
Luke Wilkes,analista,M,59,1662.02
Beverly Heidema,operador,F,40,1081.04
Erika Christopher,gerente,F,56,4962.48
Israel Mejia,atendente:,M,23,897.01
Nina Freedman,operador,F,37,1004.62
Richard Hutchins,vendedor,M,34,1325.61
William Selby,analista,M,33,1465.73
David Pittman,operador,M,31,996.99
Jonathan Anderson,vendedor,M,41,1045.5
Chad Bunting,analista,M,33,1445.43
Tristan Signorile,atendent,F,52,986.43
Tori Napoli,operador,F,41,863.41
Ray Curci,atendent,M,41,892.57
Connie Johnson,atendent,F,38,839.8
Valerie Howard,operador,F,35,962.75
Kimberly Biros,operador,F,22,940.78
Wesley Torres,atendente:,M,27,696.2
Lisa Masi,vendedor,F,47,1262.45
Denise Lyons,atendent,F,33,910.13
Thomas Schneider,operador,M,32,1129.17
Ronnie Hefty,supervisor,M,55,3214.16
Elsie Thielman,operador,F,38,1035.49
Sheila Jones,atendente:,F,41,908.63
John Pasquale,supervisor,M,43,3282.7
Deborah Dyer,vendedor,F,20,1319.04
Donald Lawrence,analista,M,54,1556.8
Fran Conrad,atendent,F,52,953.97
Paula Sabbagh,analista,F,54,1394.68
Eric Deveau,operador,M,23,1041.43
Debbie Morgan,vendedor,F,33,1155.45
Lawrence Dearing,vendedor,M,49,1112.18
Deloris Austin,atendente:,F,22,916.84
Erin Wheeler,vendedor,F,36,1302.56
Ray Grier,operador,M,33,1013.1
Christina Tristan,operador,F,51,1138.6
Donna Rohrbach,operador,F,21,1079.7
Avis Griffin,supervisor,F,38,3131.74
Barbara Montgomery,analista,F,35,1605.77
Mark Ellingsworth,analista,M,41,1652.46
Dawn Gough,operador,F,41,917.75
Karen Castro,atendente:,F,46,960.84
Walter Washburn,atendent,M,51,964.21
Arnold Ibarra,analista,M,49,1343.98
Sara Holien,atendente:,F,47,1048.55
Silvia Edge,atendent,F,52,908.84
Helen Smiley,analista,F,23,1427.98
Patty Staab,analista,F,22,1069.27
Tameka Smith,operador,F,46,1070.43
Eddy Gadson,operador,M,32,939.8
Elyse Woodall,atendente:,F,51,999.81
Ryan Davis,gerente,M,43,4992.96
Jimmie Darby,analista,F,21,1360.29
Albert Shippy,operador,M,34,998.78
Randy Reeves,supervisor,M,55,3332.23
Donald Simon,analista,M,42,1612.57
Victoria Schell,atendente:,F,47,944.75
Bonnie Terra,operador,F,27,1114.58
Christina Mclane,operador,F,54,819.35
Kevin Schroeder,operador,M,27,992.77
Hazel Moore,atendente:,F,35,1032.7
Lee Williams,atendent,M,32,794.81
Cathy York,atendent,F,36,759.8
Jon Bratt,operador,M,36,1109.97
Elizabeth Buckley,analista,F,50,1283.67
Edwin Sears,vendedor,M,52,1111.09
Billy Green,atendent,M,32,829.06
Antonio Hudson,atendente:,M,38,908.91
Carol Miller,analista,F,39,1517.5
Karen Moll,atendente:,F,46,852.81
Robert Villanveva,atendente:,M,42,931.4
Larry Evans,operador,M,30,913.88
Melvin Barbin,analista,F,54,1663.21
Travis Mcmillan,atendent,M,53,806.46
John Francisco,vendedor,M,26,1288.65
Rebecca Truax,vendedor,F,35,1205.92
Rodney Garrett,operador,M,25,888.46
Stephanie Ceravolo,operador,F,49,1194.25
Patricia Brown,operador,F,59,953.32
Alba Fluellen,atendente:,F,39,1059.89
Brian Johnson,atendente:,M,25,965.59
Michael Hibert,supervisor,M,54,2981.7
Daniel Breland,atendente:,M,42,917.01
Jamie Spady,supervisor,F,45,3299.03
Janet Heitmann,atendente:,F,49,1004.16
Joyce Kellstrom,analista,F,32,1506.47
Michael Cannon,vendedor,M,54,1171.23
Pedro Potter,operador,M,47,1000.31
Carl Rader,atendent,M,44,952.83
Erinn Payne,analista,F,49,1615.66
Stephanie Quarles,vendedor,F,28,1240.18
Etsuko Luvene,gerente,F,33,6075.46
Lisa Killian,atendente:,F,42,851.79
Irene Ritchie,atendente:,F,35,857.24
Victor Jones,operador,M,50,999.2
Ronald Callahan,analista,M,33,1352.21
Mary Jimenez,gerente,F,21,4961.26
